No.,Filing Yr,Pub Yr.,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Filing Date,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous,Filing Year,
226,2010,2011,7 Apr 11,US 2011/0079694 A1,"John Hartelius, Michael Monaco, Kyle Kazimir, John Anthony Bellacicco",,Solar Mounting/Rack (rack Substrate part),"12/959,228",12/2/2010,SLIDER CLIP AND PHOTOVOLTAIC STRUCTURE MOUNTING SYSTEM,2 Dec 10,Individual,,Unknown,"(Brick, NJ)",USA,USA,Described herein is a mounting system and slider clips that support simplified installation of photovoltaic structures. The mounting system comprises a support structure which can be mounted to support columns via an optional tilt table. The support structure comprises a plurality of parallel spaced beams and a plurality of parallel spaced rails that are mounted approximately perpendicular to the beams. Disclosed embodiments describe a collapsible support structure in which the rails are pivotally mounted to the beams. Rails are preassembled with prefabricated slider clips for holding edge portions of the photovoltaic structures. Rails can also be integrally formed with slider clips. Described herein are also methods of installing one or more photovoltaic structures using the mounting system and methods for manufacturing slider clips and a photovoltaic structure mounting system.,Mounting clips for PV panels,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110079694%22.PGNR.&OS=DN/20110079694&RS=DN/20110079694,0,0,,"Continuation of application No 12 846,365 filed on Jul 29 2010 ",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,
222,2010,2011,31 Mar 11,US 2011/0072743 A1,Joe Brescia,,Solar Mounting/Rack ,"12/961,249",12/6/2010,Unitized Building Integrated Photovoltaic Conversion Module ,6 Dec 10,Individual,,Technology and consulting,"(Alameda, CA)",USA,USA,An energy conversion device is adapted to be housed within a unitized curtain wall unit as part of an exterior shell or facade of a building structure. The device can be a photovoltaic module that includes other power generating system components--including control units and associated power/signal wiring--within the facade.,Building Integrated PV Panels ,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110072743%22.PGNR.&OS=DN/20110072743&RS=DN/20110072743,0,0,,"[0001] The present application claims priority to and is a continuation of application Ser. No. 12/564,740, now U.S. Pat. No. 7,845,128, which in turn claims the benefit under 35 U.S.C. .sctn.119(e) of the priority date of Provisional Application Ser. No. 61/099437 filed Sep. 23, 2008 and Provisional Application Ser. No. 61/114410 filed Nov. 13, 2008, all which are hereby incorporated by reference. The present application is further related to and is a continuation of the following additional applications, all of which are incorporated by reference herein: [0002] Building Integrated Power Generating System; Ser. No. 12/564,609 (attorney docket number 2009-1); [0003] UL Compliant Building Integrated Photovoltaic Conversion System; Ser. No. 12/564,627 (attorney docket number 2009-2) now U.S. Pat. No. 7,845,126; [0004] Method of Operating Building Integrated Photovoltaic Conversion System; Ser. No. 12/564,664 (attorney docket number 2009-3); [0005] Building Integrated Photovoltaic Conversion System Implemented With Integrated Control Management Units; Ser. No. 12/564,671 (attorney docket number 2009-4) now U.S. Pat. No. 7,847,181; [0006] Building Integrated Photovoltaic Conversion System Implemented In Both Vision and Spandrel Areas; application Ser. No. 12/564,686 (attorney docket number 2009-5), now U.S. Pat. No. 7,845,127; [0007] Unitized Curtain Wall Module Adapted for Integrated Photovoltaic Conversion Module; Ser. No. 12/564,732 (attorney docket number 2009-6); [0008] Unitized Building Integrated Photovoltaic Conversion Module Adapted With Electrical Isolation and Grounding; Ser. No. 12/564,748 (attorney docket number 2009-8); [0009] Unitized Building Integrated Photovoltaic Conversion Module Adapted With Electrical Conduits; Ser. No. 12/564,761 (attorney docket number 2009-9); [0010] Integrated Electrical Conduit for Solar PV System; Ser. No. 12/564,768 (attorney docket number 2009-10); [0011] Electrical Raceway for Building Integrated Solar PV System; Ser. No. 12/564,774 (attorney docket number 2009-11); [0012] Method of Assembling Building Integrated Photovoltaic Conversion System; Ser. No. 12/564,783 (attorney docket number 2009-12).",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,
308,2010,2012,21 Jun 12,US 2012/0152306 A1,"Mickey Iqbal, John Falk Kelley, Calvin D. Lawrence",INTERNATIONAL BUSINESS MACHINES CORPORATION,Solar Mounting/Rack,"12/968,408",12/15/2010,INFLATABLE SOLAR CELL ARRAY,15 Dec 10,Established,Publicly Traded,Integrated micro-inverter manufacturer,"Armonk, NY",NY,USA,"The present invention relates to a solar cell array, which includes a flexible, inflatable membrane. Multiple flexible photovoltaic cells are positioned on the top surface of the flexible membrane. The solar cell array also includes a container for the inflatable membrane and a structure for automatically inflating the membrane when at least one predetermined condition is met.",,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120152306%22.PGNR.&OS=DN/20120152306&RS=DN/20120152306,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,http://www.ibm.com/ibm/green/?lnk=msoST-eenv,,FALSE,TRUE,FALSE,,,,2010,
220,2010,2011,23 Jun 11,US 2011/0146753 A1,"Victor F. Johnson, Russell P. Johnson",,Solar Mounting/Rack,"12/968,612",12/15/2010,SOLAR ENERGY GENERATION SYSTEM,15 Dec 10,Individual,,,"Fountain Valley, CA",CA,USA,"Embodiments of a solar energy generation system are disclosed. The solar energy generation system may be adapted for use with a right of way or may be adapted to at least partially cover buildings or objects. In one embodiment adapted for use with a right of way, the solar energy generation system includes a plurality of support members that extend over at least some of the right of way and are configured to support an array of solar cell modules. The solar cell modules may be elongated units that are disposed substantially parallel to each other and to the local direction of the right of way. The solar cell modules can include one or more photovoltaic panels on an upper surface and can have a lower surface that is aerodynamically shaped to provide a downward aerodynamic force when wind flows past the solar cell module.",,PV system that includes a mounting structure that can be applied in public statements,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110146753%22.PGNR.&OS=DN/20110146753&RS=DN/20110146753,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,,,,,FALSE,TRUE,FALSE,,,,2010,
399,2010,2012,1-Mar-12,US 2012/0049629 A1,"Nicholas W. Miller, Robert William Delmerico, Reigh Allen Walling, Einar Vaughn Larsen",,Solar Monitoring; Solar inverter,"12/970,350",12/16/2010,METHOD AND APPARATUS FOR CONTROL OF FAULT-INDUCED DELAYED VOLTAGE RECOVERY,16-Dec-10,,,,"(Clifton Park, NY)",NY,USA,A method of assembling a motor stall correction system includes coupling an inverter-based electric power generation device to an electric power inverter assembly. The method also includes coupling the electric power inverter assembly to at least one induction motor. The method further includes operatively coupling at least one controller to the electric power inverter assembly. The controller is programmed to transmit electric current from the inverter-based electric power generation device to the electric power inverter assembly. The controller is also programmed to transmit real current and reactive current from the electric power inverter assembly to the induction motor. The controller is further programmed to modulate the real current and the reactive current as a function of at least one of an electric power grid frequency and an electric power grid voltage.,,Device to manage Fault Delays in grid and in other inverter devices,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=69&f=G&l=50&co1=AND&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=%28ACLM/inverter+AND+ACLM/photovoltaic%29,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,TRUE,,TRUE,,2010,
374,2010,2012,12-Apr-12,US 2012/0087157 A1,"YUNG-FU HUANG, Yoshihiro Konishi",Industrial Technology Research Institute,Solar Inverter,"12/970,579",12/16/2010,DC-TO-AC POWER INVERTING APPARATUS FOR PHOTOVOLTAIC MODULES,16-Dec-10,,,,Hsinchu,,Taiwan,"The disclosure provides a DC-to-AC power inverting apparatus for photovoltaic modules, which comprises two stages: a first stage including a resonant circuit in series, an isolating transformer with three windings, a full-bridge DC-to-AC converting unit operating in a high-frequency switch mode so as to reduce the transformer volume, and a full-wave rectifier; while a second stage including a half-bridge single-phase inverter unit with two active switches. In the first stage, any high-frequency AC signal produced from the primary winding of the isolating transformer is converter into a DC signal by the full-wave rectifier at the secondary winding of the isolation transformer. Moreover, the switching of the two active switches in the second stage is controlled to operate in a low-frequency mode using a switching frequency synchronized with the frequency of the public electrical supply to control the AC output, and thus to reduce the switching loss of the active switches.",Device and system for managing power conversion in inverters,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=47&f=G&l=50&co1=AND&d=PG01&s1=Inverter.CLM.&s2=Photovoltaic.CLM.&OS=ACLM/Inverter+AND+ACLM/Photovoltaic&RS=ACLM/Inverter+AND+ACLM/Photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
397,2010,2012,15-Mar-12,US 2012/0062044 A1,"Robert Gregory Wagoner, David Smith, Allen Michael Ritter, Mark E. Shepard",,Solar Inverter,"12/974,444",12/21/2010,Methods and Systems for Operating a Two-Stage Power Converter,21-Dec-10,,,,"(Roanoke, VA)",VA,USA,A power conversion system for providing power to an electrical grid is described. The system includes a boost converter coupled to a photovoltaic (PV) array and configured to control a PV array voltage. The system also includes an inverter coupled to the boost converter by at least one conductor and configured to regulate a voltage drop across the at least one conductor. The system also includes a system controller configured to control operation of the boost converter and the inverter.,Inverter efficiency - two stage power boost in conversion. ,,,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
398,2010,2012,1-Mar-12,US 2012/0049637 A1,"Ralph Teichmann, Kathleen Ann O'Brien",,Solar Inverter,"12/974,469",12/21/2010,Methods and Systems for Operating a Power Generation System,21-Dec-10,,,,"(Niskayuna, NY)",NY,USA,A photovoltaic (PV) power generation system is described. The system includes a plurality of PV collector units that include at least one PV cell and a collector-side single-phase inverter. The plurality of PV collector units are configured for coupling with a symmetric poly-phase alternating current (AC) load. The system also includes a system controller configured to control operation of the plurality of PV collector units.,Inverter for single phase generation to 3 phase grid,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=67&f=G&l=50&co1=AND&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=%28ACLM/inverter+AND+ACLM/photovoltaic%29,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2010,
339,2010,2012,28-Jun-12,US 2012/0159878 A1,Frank Pao,,Solar Mounting/Rack,"12/976,258",12/22/2010,OPTIMIZED BUILDING INTEGRATED HYBRID ROOFING SYSTEM,22 Dec 10,Individual,,,"(Boston, MA)",MA,USA,"An optimized building integrated hybrid roofing system is disclosed. The system comprises a plurality of metal battens having a longitudinal channel mounted horizontally onto a plurality of wooden battens, a plurality of solar electric roof tiles mounted on the metal battens and connected in series to form a string, a thermal tubing/heat pipe mounted along the longitudinal channel, at least one manifold containing liquid connected with the thermal tubing/heat pipe, an inverter connected to each string, heat exchangers connected to the thermal tubing/heat pipe, and a pump connected between the thermal tubing/heat pipe and the heat exchangers. The solar electric roof tiles generate DC from solar energy and the inverter converts the DC to AC to feed to a utility grid. The metal battens collect solar energy and converts into thermal energy resulting in producing hot water.",Mounting system for integrating solar thermal technology,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120159878%22.PGNR.&OS=DN/20120159878&RS=DN/20120159878,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,
328,2010,2012,28-Jun-12,US 2012/0160234 A1,"Brian Wares, Charles Almy",SunPower Corporation,Solar Track; Solar Mounting/Rack,"12/977,001",12/22/2010,LOCATING CONNECTORS AND METHODS FOR MOUNTING SOLAR HARDWARE,22-Dec-10,Established ,Publicly Traded,,"San Jose, CA",CA ,USA,A solar concentrator assembly can include mirror assemblies that are connected to pivotable frames with locating connections. The locating connections can be in the form of cam devices or tool-less connections formed by snap fitting devices as well as tool-less cam devices.,,Concentrated Solar PV system includes mounting devices and tracking devices,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120160234%22.PGNR.&OS=DN/20120160234&RS=DN/20120160234,0,0,,,Application ,"""Mounting""(Title) and ""photovoltaic"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,
329,2010,2012,28-Jun-12,US 2012/0160236 A1,"Brian Wares, Charles Almy",SunPower Corporation,Solar Mounting/Rack,"12/977,006",12/22/2010,LOCATING CONNECTORS AND METHODS FOR MOUNTING SOLAR HARDWARE,22-Dec-10,Established ,Publicly Traded,IT services and systems integrator,"San Jose, CA",CA ,USA,A solar concentrator assembly can include edge solar receiver assemblies that are connected to pivotable frames with locating connections. The locating connections can be in the form of cam devices or tool-less connections formed by snap fitting devices as well as tool-less cam devices.,,Concentrated Solar PV system includes mounting devices and tracking devices,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120160236%22.PGNR.&OS=DN/20120160236&RS=DN/20120160236,0,0,,,Application ,"""Mounting""(Title) and ""photovoltaic"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,
193,2009,2011,2 Jun 11,US 2011/0126881 A1,"Xuwen Hong, Xiaoming Wang",KER-RYJ INVESTMENTS PTY. LTD.,Solar Mounting/Rack,"12/993,003",5/15/2009,MOUNTING DEVICE,15 May 09,Start-up,Privately owned,,Nunawading,Australia,Australia,"A photovoltaic module mounting system having a rack structure, which includes a mounting rack structure having a rail (5) and two clamps (6) for holding a photovoltaic module (7) by a bolt (3) extending from a press plate (4) on an outer side of the module (7) to one of the clamps (6) mounted in an upper input space (51A) in the rail (5). Entrances (50A and 50B) are provided relatively for each of the two input spaces (51A and 51B) each providing a space to input one of the at least two clamps (6), which are mutual perpendicular. The longitudinal input space (51A) in the upper section of the substantially H shape rail is used to hold the clamp (6) to fix the photovoltaic module (7). The lateral input space (51B) is used to hold the clamp (6) to fix the rail (5) to the pre-location. It has an excellent function on lateral and longitudinal location. And the structure is simple, compact, efficient, adaptable and saves on material.",Rail mounting system,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110126881%22.PGNR.&OS=DN/20110126881&RS=DN/20110126881,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,http://www.clenergy.us/mission-statements.php,"DBA ""Clenergy"" -joint Sino-Australian energy firm with subsidiaries in several countries. ",FALSE,TRUE,FALSE,,,,2009,
211,2009,2011,7-Jul-11,US 2011/0162639 A1,Jean-Claude Jeandeaud,,Solar Mounting/Rack,"12/994,713",5/27/2009,"SUPPORT DEVICE FOR SUPPORTING SOLAR ENERGY RECOVERY MODULES, A SOLAR ENERGY RECOVERY UNIT AND A METHOD OF MOUNTING SOLAR ENERGY RECOVERY MODULES ",27-May-09,,,,(Saint Marcel Bel Accueil),,France,"The invention relates to a mounting device (3) for at least one module (400) for recovering power from solar radiation that includes a first (54) and second (56) groove arranged in a stationary manner opposite one another. Each groove (54, 56) is capable of receiving a module edge (402A, 402B) while an opposite module edge (402B, 402A) is received in the other groove. In the configuration for maximum sinking of an edge (402A, 402B) of the module (400) into a groove (54, 56) from among the two grooves, the opposite module edge (402B, 402A) is capable of being extracted from the other edge, and the device contains a means (9) for maintaining the module in a position wherein the two opposite module edges (402A, 402 B) are received in the first (54) and second (56) groove, respectively. The grooves (54, 56) are formed in a section (5) making it possible to completely hold up each module (400).",PV mounting system that also extracts heat energy,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110162639%22.PGNR.&OS=DN/20110162639&RS=DN/20110162639,,,,,Application ,"""Mounting""(Title) and ""solar"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2009,
197,2009,2011,21 Jul 11,US 2011/0174353 A1,"Hans Urban, Cedrik Zapfe",Schletter GMBH,Solar Mounting/Rack,"12/997,267",6/11/2009,INSTALLATION SYSTEM FOR PV MODULES,11 Jun 09,,,,Kirchdorf,,Germany,A mounting system for photovoltaic modules includes at least two profile-shaped cross rails arranged parallel to each other and configured to hold several PV modules. Each cross rail includes plane supporting surfaces. The PV module is mounted by placing it onto the at least two cross rails so that the at least two holders lay flat on the plane supporting surfaces of the at least two cross rails. The PV module is then moved in a joining direction perpendicular to the cross rails while lying on the plane supporting surfaces so that either a recess engages with an integrated protrusion or a protrusion engages with an integrated recess. A retaining safety device is disposed between at least one cross rail and its corresponding holder and is configured to counteract a move against the joining direction.,Mounting system that requires no tools for installation on roofs,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110174353%22.PGNR.&OS=DN/20110174353&RS=DN/20110174353,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2009,
209,2009,2011,5 May 11,US 2011/0100429 A1,Humayun Akhter Mughal,,Solar Mounting/Rack,"12/997,361",6/11/2009,SOLAR ENERGY ASSEMBLIES,11 Jun 09,Individual,,,"(Essex, GB)",Great Britain,Great Britain,"A solar energy assembly for collecting and converting solar energy. It comprises a plurality of solar energy converters 36 and an equivalent number of solar concentrator lenses 39, each lens being associated with one energy converter 36 and being adapted to concentrate light onto that energy converter. The lenses may be separate from each other and may be mounted and replaced independently of the others. One or more panel 20 may be mounted on a support frame 21,22, each panel having a plurality of solar energy converters and a lens array adapted to focus light on to the solar energy converters. The lens array may have a lens mounting system 37,38,66,58 adapted to hold it the desired focal distance from the solar energy converters.",,Mounting and inverters are part of overall ground mounted PV system,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110100429%22.PGNR.&OS=DN/20110100429&RS=DN/20110100429,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2009,
379,2011,2012,12-Jul-12,US 2012/0174961 A1,"BRETT E. LARSON, Gary W. Scott","Schneider Electric USA, Inc.",Solar Inverter; Solar Monitoring,"13/004,962",1/12/2011,ARC FAULT MITIGATION FOR PHOTOVOLTAIC SYSTEMS ,12-Jan-11,Established ,Publicly Traded,,"Palatine, IL",IL,USA,"Systems, methods, and devices are presented for mitigating arc fault events in a photovoltaic system. An aspect of this disclosure is directed to a photovoltaic system for generating electrical power. The photovoltaic system includes one or more solar panels, and one or more shuttering assemblies, each of which is configured to selectively limit the quantity of light received by one or more of the solar panels. One or more sensing devices detect characteristics of an arc fault event in the photovoltaic system, and output signals indicative thereof. A control module is operatively connected to the shuttering assemblies and the sensing devices. The control module is configured to direct the one or more shuttering assemblies to reduce the quantity of light received by at least one of the one or more solar panels in response to the output signals indicating there is an arc fault event in the photovoltaic system.",,Device and method for reducing arc faults. Inverters are part of this invention. ,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=8&f=G&l=50&d=PG01&s1=Inverter.CLM.&s2=Photovoltaic.CLM.&co1=AND&p=1&OS=ACLM/Inverter+AND+ACLM/Photovoltaic&RS=ACLM/Inverter+AND+ACLM/Photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,TRUE,,TRUE,,2011,
37,2011,2011,11 May 07,US 2011/0108087 A1 ,"Steven Croft, Randy Dorn, Ilan Gur, Bruce Hachtmann, Dennis Hollars, Shefal Jaiswali, Puthur Paulson, David Pearce, Kannan Ramanathan, William Sanders, Ben Tarbell",MiaSole,Solar Monitoring,"13/006,943 ",136/244,Photovoltaic Modules with Integrated Devices ,13 Jan 07,Established,Privately Owned,,"Santa Clara, CA",CA,USA,"One photovoltaic module includes a plurality of photovoltaic cells and at least one device selected from a sensor, a data storage device and an indicator. Another photovoltaic module includes a plurality of photovoltaic cells and a flexible circuit configured to act as an antenna for electromagnetic radiation. Methods of using such photovoltaic modules are also disclosed. ",,Sensors used to monitor and communicate system power,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=471&p=10&f=G&l=50&d=PG01&S1=%28%28solar.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29+OR+%28photovoltaic.CLM.+AND+%28monitor.CLM.+OR+monitoring.CLM.%29%29%29&OS=+%28aclm/solar+and+%28aclm/monitor+or+aclm/monitoring%29%29+or+%28aclm/photovoltaic+and+%28aclm/monitor+or+aclm/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29,,0,,"Continuation of 11/777,391",Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,,TRUE,,,,,TRUE,,,,,
235,2011,2011,7 Jul 11,US 2011/0162691 A1,John Hartelius,,Solar Mounting/Rack,"13/011,185",1/21/2011,PHOTOVOLTAIC MODULE SUPPORT SYSTEM,21 Jan 11,Individual,,PV systems maker,"(Brick, NJ)",NJ,USA,"A support system for a solar panel includes a triangular truss with connection points for mounting a photovoltaic module, and a cradle structure that supports the triangular truss and is connected to at least two side supports of the triangular truss. The cradle structure may be driven for rotation about an axis for tracking the sun and several cradle structures can be linked together for tracking movement using a buried linkage system. The truss may also be foldable for ease of transportation and storage.",PV mounting system that includes devices that are designed ot be used in solar tracking. ,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110162691%22.PGNR.&OS=DN/20110162691&RS=DN/20110162691,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2011,
309,2011,2012,26-Jul-12,US 2012/0187267 A1,"John Hudson, Daniel Lee Hughes","JAC-Rack, Inc.",Solar Mounting/Rack,"13/014,191",1/26/2011,ADJUSTABLE MOUNTING BRACKET FOR A PHOTOVOLTAIC PANEL FRAME SYSTEM,26 Jan 11,Established,Privately owned,PV systems maker,"Pontiac, MI",USA,USA,"A bracket assembly for use with a photovoltaic panel frame system. The bracket assembly has an L-shaped member and a base member. A foot portion of the L-shaped member has a lower surface with an arcuate configuration and a plurality of teeth. The base member has an upper surface with an arcuate configuration similar or identical to that of the lower surface of the L-shaped member. The base member further includes a slot for enabling a shaft portion of a threaded fastening member to extend through, while the L-shaped member includes a hole for allowing the shaft portion of the threaded fastening member to pass there through. The teeth allow the L-shaped member and the base member to be quickly secured together so as to provide a desired degree of inclination of the L-shaped member relative to the base member. The slot enables a degree of adjustability between the L-shaped member and the base member so that the bracket assembly can be configured to provide various degrees of inclination to a PV panel being secured by the bracket assembly.",mounting brackets for solar panels,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=13&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=1&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,,,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2011,
,2011,2012,2-Aug-12,US 2012/0192920 A1,"William Paul McCowan, John Spence Hayes Chapman, JR., Michael Chase Chapman, Donald George Myers, Bruce Barton Vance","Total Energy Renewable Power Systems, LLC",Solar Mounting/Rack,"13/015,307",8/2/2012,PHOTOVOLTAIC MODULE AND ARRAY AND METHOD OF MANUFACTURE THEREOF,27-Jan-11,,,"Solar controller, inverter and rack manufacturer","Kensington, MD",MD,USA,"An apparatus for improving the efficiency and usability of a solar energy collection panel is provided. In one embodiment, the collection panel comprises a plurality of layers. The first layer is a photovoltaic layer that converts the solar energy into electricity. That layer is coupled to a thermoelectric conversion layer that sinks heat from the photovoltaic layer and generates electricity based on the temperature difference between the top and bottom of the layer. A fluid heating layer is then coupled to and sinks heat from the thermoelectric layer to heat up a fluid, e.g. air or water. Each of these layers is stacked together and placed above an insulation layer that supports the layers and thermally isolates them from the surrounding environment. In another embodiment, a flexible coiled solar energy collection panel is provided. In still another embodiment, a modular rail system is provided for simple and customizable installation.",,Rail System for supporting Solar Modules is part of overall solar system,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120192920%22.PGNR.&OS=DN/20120192920&RS=DN/20120192920,0,0,,,Application Search,Mounting (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2011,
